id,food,calorie,protein,lipid,carbohydrate,fiber,sugar_content,salt
1,アマランサス　玄穀　,358,12.7,6,64.9,7.4,57.5,0
2,あわ　精白粒　,367,11.2,4.4,69.7,3.3,66.4,0
3,あわ　あわもち　,214,5.1,1.3,45.3,1.5,43.8,0
4,えんばく オートミール　,380,13.7,5.7,69.1,9.4,59.7,0
5,おおむぎ 七分つき押麦　,341,10.9,2.1,72.1,10.3,61.8,0
6,おおむぎ　押麦　,340,6.2,1.3,77.8,9.6,68.2,0
7,おおむぎ　米粒麦　,343,7,2.1,76.2,8.7,67.5,0
8,おおむぎ　大麦めん　乾　,339,12.9,1.7,68,6.3,61.7,2.8
9,おおむぎ　大麦めん　ゆで　,122,4.8,0.6,24.3,2.5,21.8,0.2
10,おおむぎ　麦こがし　,391,12.5,5,77.1,15.5,61.6,0
11,きび　精白粒　,363,11.3,3.3,70.9,1.6,69.3,0
12,こむぎ［玄穀］国産　普通　,337,10.6,3.1,72.2,10.8,61.4,0
13,こむぎ［玄穀］輸入　軟質　,348,10.1,3.3,75.2,11.2,64,0
14,こむぎ［玄穀］輸入　硬質　,334,13,3,69.4,11.4,58,0
15,こむぎ［小麦粉］薄力粉　1等　,367,8.3,1.5,75.8,2.5,73.3,0
16,こむぎ［小麦粉］薄力粉　2等　,368,9.3,1.9,74.3,2.6,71.7,0
17,こむぎ［小麦粉］中力粉　1等　,367,9,1.6,75.1,2.8,72.3,0
18,こむぎ［小麦粉］中力粉　2等　,368,9.7,1.8,74,2.1,71.9,0
19,こむぎ［小麦粉］強力粉　1等　,365,11.8,1.5,71.7,2.7,69,0
20,こむぎ［小麦粉］強力粉　2等　,366,12.6,1.7,70.6,2.1,68.5,0
21,こむぎ［小麦粉］強力粉　全粒粉　,328,12.8,2.9,68.2,11.2,57,0
22,小麦粉　プレミックス粉　お好み焼き用　,352,10.1,1.9,73.6,2.8,70.8,3.7
23,小麦粉　プレミックス粉　ホットケーキ用　,365,7.8,4,74.4,1.8,72.6,1
24,小麦粉　プレミックス粉　から揚げ用　,331,10.2,1.2,70,2.6,67.4,9.7
25,小麦粉　プレミックス粉　天ぷら用　,351,8.8,1.3,76.1,2.5,73.6,0.5
26,こむぎ［パン類］食パン　,264,9.3,4.4,46.7,2.3,44.4,1.3
27,こむぎ［パン類］コッペパン　,265,8.5,3.8,49.1,2,47.1,1.3
28,こむぎ［パン類］乾パン　,393,9.5,4.4,78.8,3.1,75.7,1.2
29,こむぎ［パン類］フランスパン　,279,9.4,1.3,57.5,2.7,54.8,1.6
30,こむぎ［パン類］ライ麦パン　,264,8.4,2.2,52.7,5.6,47.1,1.2
31,こむぎ［パン類］ぶどうパン　,269,8.2,3.5,51.1,2.2,48.9,1
32,こむぎ［パン類］ロールパン　,316,10.1,9,48.6,2,46.6,1.2
33,こむぎ［パン類］クロワッサン　,448,7.9,26.8,43.9,1.8,42.1,1.2
34,パン類　イングリッシュマフィン　,228,8.1,3.6,40.8,1.2,39.6,1.2
35,こむぎ［パン類］ナン　,262,10.3,3.4,47.6,2,45.6,1.3
36,こむぎ［パン類］ベーグル　,275,9.6,2,54.6,2.5,52.1,1.2
